Data Year,ID,Property Name,Address,ZIP Code,Community Area,Primary Property Type,Gross Floor Area - Buildings (sq ft),Year Built,# of Buildings,ENERGY STAR Score,Electricity Use (kBtu),Natural Gas Use (kBtu),District Steam Use (kBtu),District Chilled Water Use (kBtu),All Other Fuel Use (kBtu),Site EUI (kBtu/sq ft),Source EUI (kBtu/sq ft),Weather Normalized Site EUI (kBtu/sq ft),Weather Normalized Source EUI (kBtu/sq ft),Total GHG Emissions (Metric Tons CO2e),GHG Intensity (kg CO2e/sq ft),Latitude,Longitude,Location
2015,103601,120 South LaSalle Street Building,120 South LaSalle Street,60603,LOOP,Office,"760,892",1929,1,91,"21,065,221","17,437,439",,"11,482,548",,65.7,126.1,67,127.7,"5,764",7.6,41.880353589999999,-87.632805860000005,"(41.88035359, -87.63280586)"
2015,101492,Wright College,4300 North Narragansett,60634,DUNNING,College/University,"544,380",1993,4,,"18,983,573",,,,,34.9,109.5,33.9,106.5,"3,814",7,41.958130429999997,-87.789580119999997,"(41.95813043, -87.78958012)"
2015,240429,The Buckingham Condominium Association,360 E Randolph Street,60601,LOOP,Multifamily Housing,"506,142",1981,1,13,"28,012,752","5,533,832",,,,66.3,185.3,69,193.6,"5,922",11.7,41.884816999999998,-87.617958830000006,"(41.884817, -87.61795883)"
2015,251285,Misericordia Home,6300 N. Ridge Ave.,60660,WEST RIDGE,Multifamily Housing,"694,445",1950,31,23,"28,851,985","49,256,438",,,,112.5,204.9,113.5,206,"8,413",12.1,41.995638,-87.675792000000001,"(41.995638, -87.675792)"
2015,172393,LEARN Charter School Herro Family Campus,3021 W Carroll Ave,60612,EAST GARFIELD PARK,K-12 School,"105,300",1908,1,40,"6,215,879","1,491,291",,,,73.2,200.2,74.7,203.6,"1,328",12.6,41.887271320000004,-87.702484749999996,"(41.88727132, -87.70248475)"
2015,245071,Lake Shore Condominium Assn.,1440 N. Lake Shore Dr.,60610,NEAR NORTH SIDE,Multifamily Housing,"376,600",1961,1,,"7,060,370","25,486,200",,,,86.4,129.9,90.4,134.19999999999999,"2,772",7.4,41.908999770000001,-87.626639159999996,"(41.90899977, -87.62663916)"
2015,119323,#1976 Lincoln Park,2647 2679 N Halsted St,60614,LINCOLN PARK,Retail Store,"80,069",2003,1,29,"6,706,842","517,508",,,,90.2,269.8,91.7,273.10000000000002,"1,375",17.2,41.930997660000003,-87.648941089999994,"(41.93099766, -87.64894109)"
2015,128978,"Woodbridge Nursing Pavilion, Ltd",2242 N. Kedzie Blvd.,60647,LOGAN SQUARE,Senior Care Community,"56,000",1975,1,51,"2,351,939","7,406,284",,,,174.3,270.7,178.8,274.2,866,15.5,41.921972859999997,-87.707508110000006,"(41.92197286, -87.70750811)"
2015,228537,201 East Chestnut Condominium Association,201 E Chestnut Street,60611,NEAR NORTH SIDE,Multifamily Housing,"285,870",1967,1,60,"9,289,702","1,917,761",,,,39.200000000000003,109.1,40.700000000000003,112.9,"1,968",6.9,41.89810086,-87.621580780000002,"(41.89810086, -87.62158078)"
2015,103643,180 North LaSalle,180 North LaSalle Street,60601,LOOP,Office,"857,412",1972,1,80,"33,809,402","31,245,750",,"21,961,774",,101.5,187.7,102.8,189.2,"9,610",11.2,41.885387719999997,-87.632891169999994,"(41.88538772, -87.63289117)"
